id,seller_id,store_id,department_id,month,week,day,hour,sale,turn,year,created_at,updated_at
1,1,1,1,5,1,3,4,47020,5,2018,2018-11-22 12:28:50.544772,2018-11-22 12:28:50.544772
2,1,1,1,5,1,3,5,47020,5,2018,2018-11-22 12:28:50.589786,2018-11-22 12:28:50.589786
3,1,1,1,5,1,3,6,47020,5,2018,2018-11-22 12:28:50.655754,2018-11-22 12:28:50.655754
4,1,1,1,5,1,3,7,47020,5,2018,2018-11-22 12:28:50.689704,2018-11-22 12:28:50.689704
5,1,1,1,5,1,3,8,47020,5,2018,2018-11-22 12:28:50.707974,2018-11-22 12:28:50.707974
6,1,1,1,5,1,3,9,47020,5,2018,2018-11-22 12:28:50.756351,2018-11-22 12:28:50.756351
7,1,1,1,5,1,3,10,47020,5,2018,2018-11-22 12:28:50.80898,2018-11-22 12:28:50.80898
8,1,1,1,5,1,3,11,47020,5,2018,2018-11-22 12:28:50.842447,2018-11-22 12:28:50.842447
9,1,1,1,5,1,3,12,47020,5,2018,2018-11-22 12:28:50.874768,2018-11-22 12:28:50.874768
10,1,1,1,5,1,4,3,48221,5,2018,2018-11-22 12:28:50.918975,2018-11-22 12:28:50.918975
11,1,1,1,5,1,4,4,48221,5,2018,2018-11-22 12:28:50.945181,2018-11-22 12:28:50.945181
12,1,1,1,5,1,4,5,48221,5,2018,2018-11-22 12:28:51.005764,2018-11-22 12:28:51.005764
13,1,1,1,5,1,4,6,48221,5,2018,2018-11-22 12:28:51.050324,2018-11-22 12:28:51.050324
14,1,1,1,5,1,4,7,48221,5,2018,2018-11-22 12:28:51.087586,2018-11-22 12:28:51.087586
15,1,1,1,5,1,4,8,48221,5,2018,2018-11-22 12:28:51.105673,2018-11-22 12:28:51.105673
16,1,1,1,5,1,4,9,48221,5,2018,2018-11-22 12:28:51.134046,2018-11-22 12:28:51.134046
17,1,1,1,5,1,4,10,48221,5,2018,2018-11-22 12:28:51.171878,2018-11-22 12:28:51.171878
18,1,1,1,5,1,4,11,48221,5,2018,2018-11-22 12:28:51.235599,2018-11-22 12:28:51.235599
19,1,1,1,5,1,4,12,48221,5,2018,2018-11-22 12:28:51.260245,2018-11-22 12:28:51.260245
20,1,1,1,5,1,5,3,55625,5,2018,2018-11-22 12:28:51.295584,2018-11-22 12:28:51.295584
21,1,1,1,5,1,5,4,55625,5,2018,2018-11-22 12:28:51.325204,2018-11-22 12:28:51.325204
22,1,1,1,5,1,5,5,55625,5,2018,2018-11-22 12:28:51.354004,2018-11-22 12:28:51.354004
23,1,1,1,5,1,5,6,55625,5,2018,2018-11-22 12:28:51.385073,2018-11-22 12:28:51.385073
24,1,1,1,5,1,5,7,55625,5,2018,2018-11-22 12:28:51.416309,2018-11-22 12:28:51.416309
25,1,1,1,5,1,5,8,55625,5,2018,2018-11-22 12:28:51.462117,2018-11-22 12:28:51.462117
26,1,1,1,5,1,5,9,55625,5,2018,2018-11-22 12:28:51.501276,2018-11-22 12:28:51.501276
27,1,1,1,5,1,5,10,55625,5,2018,2018-11-22 12:28:51.540671,2018-11-22 12:28:51.540671
