id,department_id,created_at,updated_at,sale_date,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,store_id,week,month,year,day_number
1,1,2018-11-19 14:10:34.875953,2018-11-19 14:10:34.875953,2018-01-01,0,201324,209377,225483,295135,454054,385946,363243,522162,771891,1021621,794594,544864,0,0,0,1,1,1,2018,1
2,1,2018-11-19 14:10:34.920166,2018-11-19 14:10:34.920166,2018-01-02,0,203337,211471,227738,298086,458594,389805,366875,527383,779610,1031837,802540,550313,0,0,0,1,1,1,2018,2
3,1,2018-11-19 14:10:34.942711,2018-11-19 14:10:34.942711,2018-01-03,0,211390,219846,236757,309892,476756,405243,381405,548270,810486,1072702,834323,572108,0,0,0,1,1,1,2018,3
4,1,2018-11-19 14:10:34.9717,2018-11-19 14:10:34.9717,2018-01-04,0,213404,221940,239012,312843,481297,409102,385037,553491,818205,1082918,842269,577556,0,0,0,1,1,1,2018,4
5,1,2018-11-19 14:10:35.004703,2018-11-19 14:10:35.004703,2018-01-05,0,241589,251253,270580,354162,544864,463135,435891,626594,926269,1225945,953513,653837,0,0,0,1,1,1,2018,5
6,1,2018-11-19 14:10:35.050926,2018-11-19 14:10:35.050926,2018-01-06,0,265748,276378,297638,389578,599351,509448,479481,689253,1018896,1348539,1048864,719221,0,0,0,1,1,1,2018,6
7,1,2018-11-19 14:10:35.112801,2018-11-19 14:10:35.112801,2018-01-07,0,260916,271353,292226,382495,588453,500185,470763,676721,1000371,1324020,1029794,706144,0,0,0,1,1,1,2018,7
8,1,2018-11-19 14:10:35.141548,2018-11-19 14:10:35.141548,2018-01-08,0,195284,203096,218719,286281,440432,374367,352346,506497,748734,990972,770756,528518,0,0,0,1,2,1,2018,1
9,1,2018-11-19 14:10:35.18784,2018-11-19 14:10:35.18784,2018-01-09,0,213585,222128,239215,313109,481705,409450,385364,553961,818899,1083837,842985,578047,0,0,0,1,2,1,2018,2
10,1,2018-11-19 14:10:35.219815,2018-11-19 14:10:35.219815,2018-01-10,0,215618,224243,241492,316089,486291,413348,389033,559235,826695,1094156,851010,583550,0,0,0,1,2,1,2018,3
11,1,2018-11-19 14:10:35.252166,2018-11-19 14:10:35.252166,2018-01-11,0,220873,229708,247377,321591,494755,420542,395804,568968,841083,1113198,865821,593706,0,0,0,1,2,1,2018,4
12,1,2018-11-19 14:10:35.29084,2018-11-19 14:10:35.29084,2018-01-12,0,241831,251504,270850,352105,541700,460445,433360,622955,920891,1218826,947976,650040,0,0,0,1,2,1,2018,5
13,1,2018-11-19 14:10:35.341676,2018-11-19 14:10:35.341676,2018-01-13,0,263090,273614,294661,383060,589322,500924,471458,677721,1001848,1325975,1031314,707187,0,0,0,1,2,1,2018,6
14,1,2018-11-19 14:10:35.371852,2018-11-19 14:10:35.371852,2018-01-14,0,261177,271624,292518,380274,585036,497281,468029,672792,994562,1316332,1023814,702044,0,0,0,1,2,1,2018,7
15,1,2018-11-19 14:10:35.413326,2018-11-19 14:10:35.413326,2018-01-15,0,197237,205127,220906,287177,441811,375540,353449,508083,751079,994076,773170,530174,0,0,0,1,3,1,2018,1
16,1,2018-11-19 14:10:35.449176,2018-11-19 14:10:35.449176,2018-01-16,0,196498,204358,220078,286101,440155,374132,352124,506179,748264,990350,770272,528187,0,0,0,1,3,1,2018,2
17,1,2018-11-19 14:10:35.484438,2018-11-19 14:10:35.484438,2018-01-17,0,217774,226485,243907,317079,487814,414642,390252,560987,829285,1097583,853675,585377,0,0,0,1,3,1,2018,3
18,1,2018-11-19 14:10:35.516657,2018-11-19 14:10:35.516657,2018-01-18,0,218664,227411,244904,318375,489807,416336,391846,563278,832672,1102066,857163,587769,0,0,0,1,3,1,2018,4
19,1,2018-11-19 14:10:35.536462,2018-11-19 14:10:35.536462,2018-01-19,0,253922,264079,284393,369711,568785,483468,455028,654103,966935,1279767,995374,682543,0,0,0,1,3,1,2018,5
20,1,2018-11-19 14:10:35.558024,2018-11-19 14:10:35.558024,2018-01-20,0,273614,284559,306448,398382,612895,520961,490316,704830,1041922,1379014,1072567,735474,0,0,0,1,3,1,2018,6
21,1,2018-11-19 14:10:35.593659,2018-11-19 14:10:35.593659,2018-01-21,0,258565,268908,289593,376471,579186,492308,463349,666064,984616,1303169,1013576,695023,0,0,0,1,3,1,2018,7
22,1,2018-11-19 14:10:35.621596,2018-11-19 14:10:35.621596,2018-01-22,0,199210,207178,223115,290049,446230,379295,356984,513164,758590,1004016,780902,535475,0,0,0,1,4,1,2018,1
23,1,2018-11-19 14:10:35.650151,2018-11-19 14:10:35.650151,2018-01-23,0,180778,188009,202472,263213,404943,344202,323954,465684,688403,911122,708650,485932,0,0,0,1,4,1,2018,2
24,1,2018-11-19 14:10:35.682578,2018-11-19 14:10:35.682578,2018-01-24,0,219952,228750,246346,320250,492693,418789,394154,566597,837577,1108558,862212,591231,0,0,0,1,4,1,2018,3
25,1,2018-11-19 14:10:35.719638,2018-11-19 14:10:35.719638,2018-01-25,0,216477,225136,242455,315191,484909,412173,387927,557646,824346,1091046,848591,581891,0,0,0,1,4,1,2018,4
