id,seller_id,department_id,month,week,day,hour,sale,turn,year,created_at,updated_at
1,2,1,6,1,7,9,111205,2,2018,2018-11-19 14:08:38.416751,2018-11-19 14:08:38.416751
2,2,1,6,1,7,10,111205,2,2018,2018-11-19 14:08:38.456101,2018-11-19 14:08:38.456101
3,2,1,6,1,7,11,111205,2,2018,2018-11-19 14:08:38.495391,2018-11-19 14:08:38.495391
4,2,1,6,2,1,4,115167,2,2018,2018-11-19 14:08:38.540465,2018-11-19 14:08:38.540465
5,2,1,6,2,1,5,115167,2,2018,2018-11-19 14:08:38.562899,2018-11-19 14:08:38.562899
6,2,1,6,2,1,6,115167,2,2018,2018-11-19 14:08:38.605368,2018-11-19 14:08:38.605368
7,2,1,6,2,1,7,115167,2,2018,2018-11-19 14:08:38.648233,2018-11-19 14:08:38.648233
8,2,1,6,2,1,8,115167,2,2018,2018-11-19 14:08:38.679481,2018-11-19 14:08:38.679481
9,2,1,6,2,1,9,115167,2,2018,2018-11-19 14:08:38.712487,2018-11-19 14:08:38.712487
10,2,1,6,2,2,3,90062,2,2018,2018-11-19 14:08:38.745639,2018-11-19 14:08:38.745639
11,2,1,6,2,2,4,90062,2,2018,2018-11-19 14:08:38.764035,2018-11-19 14:08:38.764035
12,2,1,6,2,2,5,90062,2,2018,2018-11-19 14:08:38.79354,2018-11-19 14:08:38.79354
13,2,1,6,2,2,6,90062,2,2018,2018-11-19 14:08:38.82586,2018-11-19 14:08:38.82586
14,2,1,6,2,2,7,90062,2,2018,2018-11-19 14:08:38.84831,2018-11-19 14:08:38.84831
15,2,1,6,2,2,8,90062,2,2018,2018-11-19 14:08:38.887133,2018-11-19 14:08:38.887133
16,2,1,6,2,2,9,90062,2,2018,2018-11-19 14:08:38.93118,2018-11-19 14:08:38.93118
17,2,1,6,2,2,10,90062,2,2018,2018-11-19 14:08:38.95887,2018-11-19 14:08:38.95887
18,2,1,6,2,2,11,90062,2,2018,2018-11-19 14:08:38.991786,2018-11-19 14:08:38.991786
19,2,1,6,2,2,12,90062,2,2018,2018-11-19 14:08:39.029878,2018-11-19 14:08:39.029878
20,2,1,6,2,4,3,93173,2,2018,2018-11-19 14:08:39.060012,2018-11-19 14:08:39.060012
21,2,1,6,2,4,4,93173,2,2018,2018-11-19 14:08:39.103258,2018-11-19 14:08:39.103258
22,2,1,6,2,4,5,93173,2,2018,2018-11-19 14:08:39.130993,2018-11-19 14:08:39.130993
23,2,1,6,2,4,6,93173,2,2018,2018-11-19 14:08:39.172631,2018-11-19 14:08:39.172631
24,2,1,6,2,4,7,93173,2,2018,2018-11-19 14:08:39.211547,2018-11-19 14:08:39.211547
25,2,1,6,2,4,8,93173,2,2018,2018-11-19 14:08:39.244346,2018-11-19 14:08:39.244346
26,2,1,6,2,4,9,93173,2,2018,2018-11-19 14:08:39.280383,2018-11-19 14:08:39.280383
27,2,1,6,2,4,10,93173,2,2018,2018-11-19 14:08:39.308593,2018-11-19 14:08:39.308593
28,2,1,6,2,4,11,93173,2,2018,2018-11-19 14:08:39.330521,2018-11-19 14:08:39.330521
29,2,1,6,2,4,12,93173,2,2018,2018-11-19 14:08:39.35769,2018-11-19 14:08:39.35769
